Turn,P1 Left,P1 Right,P2 Left,P2 Right,Set #,Option #,Option,Winner
5,0,3,1,3,1,10,D(RL),2
6,0,3,0,4,4,10,D(RL),2
7,2,1,0,4,8,10,D(RL),2
8,2,0,0,4,2,111,A(RR),2
9,2,0,0,0,3,101,A(LR),2
1,1,1,2,1,1,110,A(RL),2
2,3,1,2,1,1,100,A(LL),2
3,0,4,2,1,1,10,D(RL),2
4,0,4,0,3,4,1,D(LR),2
5,0,4,0,0,8,111,A(RR),2
1,1,1,1,2,1,101,A(LR),1
2,3,1,1,2,1,110,A(RL),1
3,3,1,4,2,1,100,A(LL),1
4,0,1,4,2,6,110,A(RL),1
5,0,1,4,2,2,10,D(RL),1
6,0,0,4,2,4,101,A(LR),1
1,0,2,1,1,1,10,D(RL),2
2,0,2,0,2,4,10,D(RL),2
3,0,2,0,2,8,10,D(RL),2
4,0,4,0,2,8,111,A(RR),2
5,0,4,0,0,8,111,A(RR),2
1,1,1,2,1,1,100,A(LL),1
2,1,2,2,1,1,111,A(RR),1
3,1,2,2,3,1,111,A(RR),1
4,1,4,2,3,6,101,A(LR),1
5,1,4,2,4,6,101,A(LR),1
6,0,4,2,4,6,110,A(RL),1
7,0,4,0,4,2,110,A(RL),1
8,0,0,0,4,8,111,A(RR),1
1,1,1,2,1,1,100,A(LL),1
2,1,1,0,3,1,10,D(RL),1
3,0,2,0,3,4,10,D(RL),1
4,0,0,0,3,8,111,A(RR),1
1,0,2,1,1,1,10,D(RL),2
2,0,3,1,1,4,101,A(LR),2
3,1,2,1,1,2,10,D(RL),2
4,1,3,1,1,1,101,A(LR),2
5,1,3,4,1,1,110,A(RL),2
6,0,3,4,1,6,100,A(LL),2
7,0,3,4,4,2,111,A(RR),2
8,0,3,0,8,4,10,D(RL),2
9,0,3,0,8,8,10,D(RL),2
10,0,3,5,3,8,10,D(RL),2
11,0,3,5,0,2,111,A(RR),2
12,0,3,3,2,3,1,D(LR),2
13,1,2,3,2,2,10,D(RL),2
14,3,2,3,2,6,110,A(RL),2
15,3,2,3,0,6,101,A(LR),2
16,0,2,3,0,3,100,A(LL),2
17,0,2,0,0,2,110,A(RL),2
1,0,2,1,1,1,1,D(LR),2
2,0,3,1,1,4,111,A(RR),2
3,0,3,1,1,2,10,D(RL),2
4,0,3,0,2,4,1,D(LR),2
5,2,1,0,2,8,10,D(RL),2
6,4,1,0,2,2,110,A(RL),2
7,4,1,0,0,4,101,A(LR),2
1,1,1,1,2,1,111,A(RR),1
2,1,2,1,2,1,101,A(LR),1
3,1,2,3,2,1,110,A(RL),1
4,4,2,3,2,6,100,A(LL),1
5,4,2,3,4,6,111,A(RR),1
6,0,2,3,4,6,110,A(RL),1
7,1,1,3,4,2,10,D(RL),1
8,1,0,3,4,6,111,A(RR),1
9,0,1,3,4,3,1,D(LR),1
10,0,0,3,4,4,111,A(RR),1
